scenario_id,model_condition,branch,prompt_hash_equal,request_payload_hash_equal,returned_model_equal,f1_system_fingerprint,f0_system_fingerprint,system_fingerprint_available_both,system_fingerprint_equal_when_available,exact_action_repeat,cross_window_action_distance_kwh,f1_action_energy_kwh,f0_action_energy_kwh
v2e2_28d9724eea09520d5cd7,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_28d9724eea09520d5cd7,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_28d9724eea09520d5cd7,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_28d9724eea09520d5cd7,qwen_flash,C1,True,True,True,,,False,False,True,0.0,5625.0,5625.0
v2e2_28d9724eea09520d5cd7,qwen_flash,C2,True,True,True,,,False,False,True,0.0,5625.0,5625.0
v2e2_28d9724eea09520d5cd7,qwen_flash,S1,True,True,True,,,False,False,True,0.0,5625.0,5625.0
v2e2_28d9724eea09520d5cd7,qwen_flash,S2,True,True,True,,,False,False,True,0.0,5625.0,5625.0
v2e2_47a354a03084871e0ca3,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_47a354a03084871e0ca3,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_47a354a03084871e0ca3,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_47a354a03084871e0ca3,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_47a354a03084871e0ca3,qwen_flash,C1,True,True,True,,,False,False,True,0.0,5625.0,5625.0
v2e2_47a354a03084871e0ca3,qwen_flash,C2,True,True,True,,,False,False,True,0.0,5625.0,5625.0
v2e2_47a354a03084871e0ca3,qwen_flash,S1,True,True,True,,,False,False,True,0.0,5625.0,5625.0
v2e2_47a354a03084871e0ca3,qwen_flash,S2,True,True,True,,,False,False,True,0.0,5625.0,5625.0
v2e2_599ab783e7af2d598059,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_599ab783e7af2d598059,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_599ab783e7af2d598059,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_599ab783e7af2d598059,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_599ab783e7af2d598059,qwen_flash,C1,True,True,True,,,False,False,True,0.0,5687.5,5687.5
v2e2_599ab783e7af2d598059,qwen_flash,C2,True,True,True,,,False,False,True,0.0,5687.5,5687.5
v2e2_599ab783e7af2d598059,qwen_flash,S1,True,True,True,,,False,False,True,0.0,5687.5,5687.5
v2e2_599ab783e7af2d598059,qwen_flash,S2,True,True,True,,,False,False,True,0.0,5687.5,5687.5
v2e2_7778cc641046e1b0a2cd,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_7778cc641046e1b0a2cd,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_7778cc641046e1b0a2cd,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_7778cc641046e1b0a2cd,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_7778cc641046e1b0a2cd,qwen_flash,C1,True,True,True,,,False,False,True,0.0,3075.0,3075.0
v2e2_7778cc641046e1b0a2cd,qwen_flash,C2,True,True,True,,,False,False,False,512.5,3075.0,3587.5
v2e2_7778cc641046e1b0a2cd,qwen_flash,S1,True,True,True,,,False,False,True,0.0,3075.0,3075.0
v2e2_7778cc641046e1b0a2cd,qwen_flash,S2,True,True,True,,,False,False,True,0.0,3075.0,3075.0
v2e2_7b2e0628b0d7b7a4badd,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_7b2e0628b0d7b7a4badd,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_7b2e0628b0d7b7a4badd,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_7b2e0628b0d7b7a4badd,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_7b2e0628b0d7b7a4badd,qwen_flash,C1,True,True,True,,,False,False,False,3415.5,3450.0,34.5
v2e2_7b2e0628b0d7b7a4badd,qwen_flash,C2,True,True,True,,,False,False,False,3407.7374999999997,3450.0,42.2625
v2e2_7b2e0628b0d7b7a4badd,qwen_flash,S1,True,True,True,,,False,False,True,0.0,3450.0,3450.0
v2e2_7b2e0628b0d7b7a4badd,qwen_flash,S2,True,True,True,,,False,False,True,0.0,3450.0,3450.0
v2e2_7f938d120000eec26457,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,5500.0,5500.0
v2e2_7f938d120000eec26457,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,5500.0,5500.0
v2e2_7f938d120000eec26457,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,5500.0,5500.0
v2e2_7f938d120000eec26457,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,False,5500.0,0.0,5500.0
v2e2_7f938d120000eec26457,qwen_flash,C1,True,True,True,,,False,False,False,2500.0,5500.0,5500.0
v2e2_7f938d120000eec26457,qwen_flash,C2,True,True,True,,,False,False,True,0.0,5500.0,5500.0
v2e2_7f938d120000eec26457,qwen_flash,S1,True,True,True,,,False,False,False,2500.0,5500.0,5500.0
v2e2_7f938d120000eec26457,qwen_flash,S2,True,True,True,,,False,False,True,0.0,5500.0,5500.0
v2e2_b7e962716394d888d563,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_b7e962716394d888d563,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_b7e962716394d888d563,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_b7e962716394d888d563,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_b7e962716394d888d563,qwen_flash,C1,True,True,True,,,False,False,True,0.0,5687.5,5687.5
v2e2_b7e962716394d888d563,qwen_flash,C2,True,True,True,,,False,False,True,0.0,5687.5,5687.5
v2e2_b7e962716394d888d563,qwen_flash,S1,True,True,True,,,False,False,True,0.0,5687.5,5687.5
v2e2_b7e962716394d888d563,qwen_flash,S2,True,True,True,,,False,False,True,0.0,5687.5,5687.5
v2e2_c9b994f593c92dd9efa9,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_c9b994f593c92dd9efa9,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_c9b994f593c92dd9efa9,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_c9b994f593c92dd9efa9,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_c9b994f593c92dd9efa9,qwen_flash,C1,True,True,True,,,False,False,True,0.0,3526.25,3526.25
v2e2_c9b994f593c92dd9efa9,qwen_flash,C2,True,True,True,,,False,False,True,0.0,3526.25,3526.25
v2e2_c9b994f593c92dd9efa9,qwen_flash,S1,True,True,True,,,False,False,True,0.0,3526.25,3526.25
v2e2_c9b994f593c92dd9efa9,qwen_flash,S2,True,True,True,,,False,False,True,0.0,3526.25,3526.25
